,Pick,Team,Name,College,Seasons,Games,Minutes Played,Points,Total Rebounds,Assists,FG%,3P%,FT%,MPG,PPG,TRPG,APG,Win Share,Win Share/48,Box +/-,VORP
368,37,GSW,Marc Jackson\jacksma02,Temple University,7,387,7572,3238,1655,311,.446,.226,.814,19.6,8.4,4.3,0.8,13.0,.082,-3.6,-3.1
369,38,MIL,Jerald Honeycutt\honeyje01,Tulane University,2,54,632,275,105,36,.391,.362,.632,11.7,5.1,1.9,0.7,0.3,.020,-3.8,-0.3
370,39,SAC,Anthony Johnson\johnsan02,College of Charleston,13,793,15552,4432,1358,2274,.414,.356,.745,19.6,5.6,1.7,2.9,23.2,.072,-2.1,-0.4
371,40,SEA,Eddie Elisma,Georgia Institute of Technology,,,,,,,,,,,,,,,,,
372,41,DEN,Jason Lawson\lawsoja01,Villanova University,1,17,80,26,27,5,.600,,.800,4.7,1.5,1.6,0.3,0.5,.280,4.8,0.1
373,42,PHO,Stephen Jackson\jacksst02,Butler County Community College,14,858,27398,12976,3328,2634,.414,.333,.798,31.9,15.1,3.9,3.1,36.1,.063,0.0,13.6
374,43,MIN,Gordon Malone,West Virginia University,,,,,,,,,,,,,,,,,
375,44,CLE,Cedric Henderson\hendece02,University of Memphis,5,260,6182,1885,755,419,.436,.140,.715,23.8,7.3,2.9,1.6,3.3,.026,-2.4,-0.7
376,45,WAS,God Shammgod\shammgo01,Providence College,1,20,146,61,7,36,.328,.000,.767,7.3,3.1,0.4,1.8,-0.1,-.049,-9.6,-0.3
377,46,ORL,Eric Washington\washier01,University of Alabama,2,104,2300,716,216,108,.402,.346,.757,22.1,6.9,2.1,1.0,0.1,.002,-3.7,-1.0
378,47,POR,Alvin Williams\willial02,Villanova University,9,460,12610,4161,1140,1877,.421,.313,.760,27.4,9.0,2.5,4.1,21.7,.082,-0.9,3.6
379,48,WAS,Predrag Drobnjak\drobnpr01,,4,278,5542,2187,973,225,.425,.340,.799,19.9,7.9,3.5,0.8,5.6,.048,-4.2,-3.1
380,49,ATL,Alain Digbeu,,,,,,,,,,,,,,,,,,
381,50,ATL,Chris Crawford\crawfch01,Marquette University,7,252,3985,1654,547,154,.437,.347,.824,15.8,6.6,2.2,0.6,6.5,.078,-2.9,-0.9
382,51,LAL,DeJuan Wheat\wheatde01,University of Louisville,2,80,740,265,56,127,.383,.390,.700,9.3,3.3,0.7,1.6,0.5,.034,-4.4,-0.4
383,52,VAN,C.J. Bruton,Indian Hills Community College,,,,,,,,,,,,,,,,,
384,53,LAL,Paul Rogers,Gonzaga University,,,,,,,,,,,,,,,,,
385,54,SEA,Mark Blount\blounma01,University of Pittsburgh,9,605,13981,4941,2784,513,.504,.359,.723,23.1,8.2,4.6,0.8,18.8,.065,-2.4,-1.4
386,55,BOS,Ben Pepper,,,,,,,,,,,,,,,,,,
387,56,UTA,Nate Erdmann,University of Oklahoma,,,,,,,,,,,,,,,,,
388,57,CHI,Roberto Duenas,,,,,,,,,,,,,,,,,,
389,1,LAC,Michael Olowokandi\olowomi01,University of the Pacific,9,500,13129,4135,3414,327,.435,,.597,26.3,8.3,6.8,0.7,2.5,.009,-4.5,-8.3
390,2,VAN,Mike Bibby\bibbymi01,University of Arizona,14,1001,33962,14698,3103,5517,.436,.379,.802,33.9,14.7,3.1,5.5,73.2,.104,0.5,21.2
391,3,DEN,Raef LaFrentz\lafrera01,University of Kansas,10,563,14545,5690,3423,606,.466,.363,.711,25.8,10.1,6.1,1.1,39.4,.130,1.5,12.8
392,4,TOR,Antawn Jamison\jamisan01,University of North Carolina,16,1083,37638,20042,8157,1761,.451,.346,.724,34.8,18.5,7.5,1.6,87.8,.112,-0.2,17.4
393,5,GSW,Vince Carter\cartevi01,University of North Carolina,19,1343,43038,24522,6131,4501,.438,.373,.799,32.0,18.3,4.6,3.4,122.1,.136,3.0,54.5
394,6,DAL,Robert Traylor\traylro01,University of Michigan,7,438,6243,2085,1640,312,.474,.167,.577,14.3,4.8,3.7,0.7,13.3,.102,0.3,3.6
395,7,SAC,Jason Williams\willija02,University of Florida,12,788,23188,8266,1810,4611,.398,.327,.813,29.4,10.5,2.3,5.9,38.5,.080,-0.7,7.8
396,8,PHI,Larry Hughes\hughela01,Saint Louis University,13,727,22368,10242,3039,2290,.406,.309,.757,30.8,14.1,4.2,3.1,32.3,.069,-0.3,9.7
397,9,MIL,Dirk Nowitzki\nowitdi01,,19,1390,48582,30211,10875,3490,.473,.382,.879,35.0,21.7,7.8,2.5,201.3,.199,3.4,66.0
398,10,BOS,Paul Pierce\piercpa01,University of Kansas,19,1340,45864,26387,7525,4707,.445,.369,.807,34.2,19.7,5.6,3.5,150.0,.157,3.3,61.5
399,11,DET,Bonzi Wells\wellsbo01,Ball State University,10,591,15133,7147,2737,1249,.460,.327,.697,25.6,12.1,4.6,2.1,29.4,.093,0.4,9.3
400,12,ORL,Michael Doleac\doleami01,University of Utah,10,587,8789,2882,1955,343,.439,.125,.791,15.0,4.9,3.3,0.6,12.7,.070,-3.7,-3.8
401,13,ORL,Keon Clark\clarkke01,University of Nevada Las Vegas,6,353,7971,2882,2096,322,.500,.053,.645,22.6,8.2,5.9,0.9,18.2,.110,-0.1,3.8
402,14,HOU,Michael Dickerson\dickemi01,University of Arizona,5,212,7490,3257,609,553,.432,.402,.784,35.3,15.4,2.9,2.6,9.6,.061,-1.2,1.6
403,15,ORL,Matt Harpring\harprma01,Georgia Institute of Technology,11,665,17584,7645,3366,907,.481,.333,.753,26.4,11.5,5.1,1.4,41.9,.114,-0.1,8.2
404,16,HOU,Bryce Drew\drewbr01,Valparaiso University,6,243,3970,1081,295,524,.382,.371,.830,16.3,4.4,1.2,2.2,2.4,.030,-4.6,-2.6
405,17,MIN,Rasho Nesterovic\nestera01,,12,811,17983,5519,4143,836,.502,.077,.585,22.2,6.8,5.1,1.0,39.9,.107,0.4,11.0
406,18,HOU,Mirsad Turkcan\turkcmi01,,1,17,90,33,33,5,.368,.000,.625,5.3,1.9,1.9,0.3,0.0,-.019,-6.0,-0.1
407,19,MIL,Pat Garrity\garripa01,University of Notre Dame,10,552,11062,4017,1457,443,.417,.398,.806,20.0,7.3,2.6,0.8,18.7,.081,-1.8,0.7
408,20,ATL,Roshown McLeod\mcleoro01,Duke University,3,113,2130,817,308,124,.409,.111,.819,18.8,7.2,2.7,1.1,0.2,.004,-5.0,-1.6
409,21,CHH,Ricky Davis\davisri01,University of Iowa,12,736,21927,9912,2550,2426,.446,.361,.781,29.8,13.5,3.5,3.3,28.0,.061,-0.8,6.5
410,22,LAC,Brian Skinner\skinnbr01,Baylor University,14,608,10910,2876,2841,288,.494,.333,.566,17.9,4.7,4.7,0.5,15.8,.070,-2.4,-1.0
411,23,DEN,Tyronn Lue\luety01,University of Nebraska,11,554,12564,4710,943,1727,.437,.391,.829,22.7,8.5,1.7,3.1,19.7,.075,-2.8,-2.5
412,24,SAS,Felipe Lopez\lopezfe01,St. John's University,4,249,4145,1448,604,252,.432,.327,.659,16.6,5.8,2.4,1.0,3.1,.036,-2.7,-0.7
413,25,IND,Al Harrington\harrial01,,16,981,28009,13237,5482,1649,.444,.352,.727,28.6,13.5,5.6,1.7,42.5,.073,-1.2,5.5
414,26,LAL,Sam Jacobson\jacobsa01,University of Minnesota,3,68,752,283,80,36,.511,.360,.739,11.1,4.2,1.2,0.5,1.1,.071,-3.5,-0.3
415,27,SEA,Vladimir Stepania\stepavl01,,6,270,3726,1118,1180,94,.425,.133,.536,13.8,4.1,4.4,0.3,5.2,.067,-3.9,-1.8
416,28,CHI,Corey Benjamin\benjaco01,Oregon State University,4,153,2191,835,259,143,.390,.289,.652,14.3,5.5,1.7,0.9,-0.9,-.019,-5.6,-2.0
417,29,UTA,Nazr Mohammed\mohamna01,University of Kentucky,18,1005,15891,5827,4708,375,.486,.000,.640,15.8,5.8,4.7,0.4,34.3,.104,-2.5,-2.0
418,30,DAL,Ansu Sesay\sesayan01,University of Mississippi,4,127,1301,401,223,62,.434,.276,.640,10.2,3.2,1.8,0.5,1.4,.051,-3.3,-0.4
419,31,LAL,Ruben Patterson\patteru01,University of Cincinnati,10,649,15955,6953,2697,1150,.517,.179,.641,24.6,10.7,4.2,1.8,35.1,.106,0.9,11.8
420,32,SEA,Rashard Lewis\lewisra02,,16,1049,33541,15579,5433,1765,.452,.386,.805,32.0,14.9,5.2,1.7,90.9,.130,2.0,34.1
421,33,SEA,Jelani McCoy\mccoyje01,University of California Los Angeles,8,260,3824,1200,921,135,.539,,.490,14.7,4.6,3.5,0.5,5.1,.064,-3.1,-1.1
422,34,CHI,Shammond Williams\willish01,University of North Carolina,7,325,5351,1892,518,765,.401,.366,.798,16.5,5.8,1.6,2.4,8.8,.079,-2.3,-0.4
423,35,DAL,Bruno Sundov\sundobr01,,7,102,524,173,107,18,.356,.208,.526,5.1,1.7,1.0,0.2,-0.7,-.062,-9.7,-1.0
424,36,SAC,Jerome James\jamesje01,Florida Agricultural and Mechanical University,9,358,4771,1540,1099,118,.485,.000,.617,13.3,4.3,3.1,0.3,2.9,.029,-3.1,-1.3
425,37,PHI,Casey Shaw\shawca01,University of Toledo,1,9,14,2,3,0,.125,,,1.6,0.2,0.3,0.0,-0.1,-.498,-27.8,-0.1
426,38,NYK,DeMarco Johnson\johnsde02,University of North Carolina at Charlotte,1,5,37,6,7,0,.333,,,7.4,1.2,1.4,0.0,-0.1,-.091,-11.9,-0.1
427,39,MIL,Rafer Alston\alstora01,California State University Fresno,11,671,19392,6799,1891,3202,.383,.354,.729,28.9,10.1,2.8,4.8,32.9,.081,0.2,10.9
428,40,DET,Korleone Young\youngko01,,1,3,15,13,4,1,.500,.250,1.000,5.0,4.3,1.3,0.3,0.1,.280,6.0,0.0
429,41,HOU,Cuttino Mobley\moblecu01,University of Rhode Island,11,747,27618,11964,2902,2015,.433,.378,.835,37.0,16.0,3.9,2.7,52.2,.091,0.2,15.3
430,42,ORL,Miles Simon\simonmi01,University of Arizona,1,5,19,2,2,0,.200,.000,,3.8,0.4,0.4,0.0,-0.1,-.289,-15.5,-0.1
431,43,WAS,Jahidi White\whiteja01,Georgetown University,7,334,5913,1954,1944,63,.510,.000,.534,17.7,5.9,5.8,0.2,10.4,.085,-3.8,-2.7
432,44,NYK,Sean Marks\marksse01,University of California,11,230,2275,638,501,50,.448,.200,.665,9.9,2.8,2.2,0.2,2.6,.055,-4.9,-1.7
433,45,LAL,Toby Bailey\baileto01,University of California Los Angeles,2,73,698,241,126,43,.407,.200,.692,9.6,3.3,1.7,0.6,1.0,.072,-4.0,-0.3
434,46,MIN,Andrae Patterson\pattean01,Indiana University,2,40,304,120,67,16,.455,.000,.778,7.6,3.0,1.7,0.4,0.7,.114,-0.5,0.1
435,47,TOR,Tyson Wheeler\wheelty01,University of Rhode Island,1,1,3,4,0,2,1.000,1.000,.500,3.0,4.0,0.0,2.0,0.1,1.367,19.6,0.0
436,48,CLE,Ryan Stack\stackry01,University of South Carolina,2,43,397,99,79,10,.352,.000,.787,9.2,2.3,1.8,0.2,0.2,.028,-4.6,-0.3
437,49,ATL,Cory Carr\carrco01,Texas Tech University,1,42,624,171,49,66,.329,.167,.750,14.9,4.1,1.2,1.6,-1.2,-.089,-8.8,-1.1
438,50,CHH,Andrew Betts,California State University Long Beach,,,,,,,,,,,,,,,,,
439,51,MIA,Corey Brewer,University of Oklahoma,,,,,,,,,,,,,,,,,
440,52,SAS,Derrick Dial\dialde01,Eastern Michigan University,4,82,687,253,133,63,.372,.190,.672,8.4,3.1,1.6,0.8,0.6,.045,-3.5,-0.3
441,53,DAL,Greg Buckner\buckngr01,Clemson University,10,570,10895,2878,1593,719,.450,.334,.757,19.1,5.0,2.8,1.3,20.9,.092,0.1,5.8
442,54,DEN,Tremaine Fowlkes\fowlktr01,California State University Fresno,4,103,1233,301,228,54,.409,.200,.791,12.0,2.9,2.2,0.5,2.1,.080,-2.1,0.0
443,55,DEN,Ryan Bowen\bowenry01,University of Iowa,10,507,6502,1319,1060,250,.456,.206,.693,12.8,2.6,2.1,0.5,12.4,.092,0.0,3.3
444,56,VAN,J.R. Henderson\hendejr01,University of California Los Angeles,1,30,331,97,47,22,.365,.400,.556,11.0,3.2,1.6,0.7,-0.2,-.025,-6.1,-0.3
445,57,UTA,Torraye Braggs\braggto01,Xavier University,2,22,178,46,51,7,.475,,.667,8.1,2.1,2.3,0.3,0.3,.071,-4.1,-0.1
446,58,CHI,Maceo Baston\bastoma01,University of Michigan,4,105,831,286,175,26,.616,.375,.740,7.9,2.7,1.7,0.2,2.3,.134,-1.3,0.1
447,1,CHI,Elton Brand\brandel01,Duke University,17,1058,34910,16827,9040,2184,.500,.095,.736,33.0,15.9,8.5,2.1,109.6,.151,3.1,45.2
448,2,VAN,Steve Francis\francst01,University of Maryland,9,576,21632,10446,3215,3473,.429,.341,.797,37.6,18.1,5.6,6.0,54.1,.120,3.2,28.2
449,3,CHH,Baron Davis\davisba01,University of California Los Angeles,13,835,28592,13447,3183,6025,.409,.320,.711,34.2,16.1,3.8,7.2,63.1,.106,2.7,34.1
450,4,LAC,Lamar Odom\odomla01,University of Rhode Island,14,961,32131,12781,8059,3554,.463,.312,.693,33.4,13.3,8.4,3.7,77.0,.115,2.5,36.3
451,5,TOR,Jonathan Bender\bendejo01,,8,262,3847,1453,582,170,.417,.340,.763,14.7,5.5,2.2,0.6,3.8,.047,-3.5,-1.5
452,6,MIN,Wally Szczerbiak\szczewa02,Miami University,10,651,20052,9195,2602,1532,.485,.406,.860,30.8,14.1,4.0,2.4,53.3,.127,0.5,12.8
453,7,WAS,Richard Hamilton\hamilri01,University of Connecticut,14,921,29559,15708,2852,3125,.449,.346,.852,32.1,17.1,3.1,3.4,62.8,.102,-0.6,10.5
454,8,CLE,Andre Miller\millean02,University of Utah,17,1304,40268,16278,4795,8524,.461,.217,.807,30.9,12.5,3.7,6.5,100.8,.120,1.1,31.7
455,9,PHO,Shawn Marion\mariosh01,University of Nevada Las Vegas,16,1163,40097,17700,10101,2198,.484,.331,.810,34.5,15.2,8.7,1.9,124.9,.150,3.2,52.1
456,10,ATL,Jason Terry\terryja01,University of Arizona,18,1355,41152,18688,3219,5351,.444,.380,.845,30.4,13.8,2.4,3.9,101.0,.118,1.3,34.0
457,11,CLE,Trajan Langdon\langdtr01,Duke University,3,119,1738,647,159,152,.416,.396,.910,14.6,5.4,1.3,1.3,2.9,.079,-1.9,0.1
458,12,TOR,Aleksandar Radojevic\radojal01,Barton County Community College,2,15,152,26,36,7,.308,,.625,10.1,1.7,2.4,0.5,-0.4,-.130,-9.4,-0.3
459,13,SEA,Corey Maggette\maggeco01,Duke University,14,827,23358,13198,4022,1696,.453,.324,.822,28.2,16.0,4.9,2.1,62.2,.128,-0.4,9.5
460,14,MIN,William Avery\averywi01,Duke University,3,142,1205,379,93,199,.330,.255,.714,8.5,2.7,0.7,1.4,-0.9,-.034,-7.2,-1.6
461,15,NYK,Frederic Weis,,,,,,,,,,,,,,,,,,
462,16,CHI,Metta World Peace\artesro01,St. John's University,17,986,31368,13022,4439,2627,.414,.339,.715,31.8,13.2,4.5,2.7,61.1,.093,1.8,29.9
463,17,ATL,Cal Bowdler\bowdlca01,Old Dominion University,3,142,1383,424,272,29,.404,.182,.768,9.7,3.0,1.9,0.2,1.8,.061,-4.7,-0.9
464,18,DEN,James Posey\poseyja01,Xavier University,12,864,23260,7419,4061,1413,.410,.349,.820,26.9,8.6,4.7,1.6,51.6,.107,1.2,18.8
465,19,UTA,Quincy Lewis\lewisqu01,University of Minnesota,4,159,1853,567,210,96,.397,.333,.710,11.7,3.6,1.3,0.6,0.8,.020,-4.0,-0.9
466,20,ATL,Dion Glover\glovedi01,Georgia Institute of Technology,6,294,6132,2407,897,455,.411,.317,.756,20.9,8.2,3.1,1.5,5.8,.045,-2.4,-0.7
467,21,GSW,Jeff Foster\fosteje01,Texas State University,13,764,15750,3747,5248,703,.497,.130,.615,20.6,4.9,6.9,0.9,47.5,.145,1.3,13.0
468,22,HOU,Kenny Thomas\thomake01,University of New Mexico,11,632,17306,5876,4341,975,.465,.244,.699,27.4,9.3,6.9,1.5,31.2,.086,-0.5,6.6
469,23,LAL,Devean George\georgde01,Augsburg College,11,630,11682,3536,1975,543,.392,.343,.721,18.5,5.6,3.1,0.9,18.2,.075,-1.2,2.5
470,24,UTA,Andrei Kirilenko\kirilan01,,13,797,23916,9431,4352,2169,.474,.310,.754,30.0,11.8,5.5,2.7,75.4,.151,5.0,42.4
471,25,MIA,Tim James\jamesti01,University of Miami,3,43,261,68,46,11,.329,.333,.652,6.1,1.6,1.1,0.3,0.0,-.003,-7.1,-0.3
472,26,IND,Vonteego Cummings\cummivo01,University of Pittsburgh,3,199,3789,1381,373,534,.383,.321,.726,19.0,6.9,1.9,2.7,2.2,.028,-2.9,-0.9
473,27,ATL,Jumaine Jones\jonesju01,University of Georgia,8,471,9780,3325,1987,408,.424,.349,.704,20.8,7.1,4.2,0.9,15.1,.074,-1.0,2.4
474,28,UTA,Scott Padgett\padgesc01,University of Kentucky,8,448,5613,1874,1227,325,.410,.373,.736,12.5,4.2,2.7,0.7,13.2,.113,-0.1,2.7
475,29,SAS,Leon Smith\smithle01,,2,15,104,33,33,3,.393,,.647,6.9,2.2,2.2,0.2,0.2,.112,-4.3,-0.1
476,30,LAL,John Celestand\celesjo01,Villanova University,1,16,185,37,11,20,.333,.222,.833,11.6,2.3,0.7,1.3,-0.1,-.038,-7.4,-0.3
477,31,LAC,Rico Hill,Illinois State University,,,,,,,,,,,,,,,,,
478,32,CHI,Michael Ruffin\ruffimi01,University of Tulsa,9,414,5966,716,1632,250,.407,.000,.459,14.4,1.7,3.9,0.6,6.8,.055,-1.2,1.2
479,33,DEN,Chris Herren\herrech01,California State University Fresno,2,70,1005,224,73,167,.336,.328,.692,14.4,3.2,1.0,2.4,0.5,.025,-5.6,-0.9
480,34,NJN,Evan Eschmeyer\eschmev01,Northwestern University,4,153,2138,421,601,76,.463,,.621,14.0,2.8,3.9,0.5,4.0,.090,-1.1,0.5
481,35,WAS,Calvin Booth\boothca01,Pennsylvania State University,10,366,4477,1190,1010,151,.451,.222,.748,12.2,3.3,2.8,0.4,8.0,.086,-1.3,0.8
482,36,DAL,Wang Zhizhi\zhizhwa01,,5,137,1256,604,231,39,.417,.385,.735,9.2,4.4,1.7,0.3,2.1,.078,-4.3,-0.7
483,37,VAN,Obinna Ekezie\ekeziob01,University of Maryland,4,143,1516,510,383,31,.423,.000,.720,10.6,3.6,2.7,0.2,1.7,.054,-6.1,-1.5
484,38,ORL,Laron Profit\profila01,University of Maryland,4,135,1537,441,209,166,.419,.236,.712,11.4,3.3,1.5,1.2,0.7,.021,-3.4,-0.5
485,39,CLE,A.J. Bramlett\bramlaj01,University of Arizona,1,8,61,8,22,0,.190,,,7.6,1.0,2.8,0.0,-0.2,-.129,-16.8,-0.2
486,40,DAL,Gordan Giricek\giricgo01,,6,384,8824,3670,941,584,.442,.368,.823,23.0,9.6,2.5,1.5,8.0,.044,-3.1,-2.5
487,41,DEN,Francisco Elson\elsonfr01,University of California,9,472,7207,1726,1638,260,.478,.188,.700,15.3,3.7,3.5,0.6,11.7,.078,-1.6,0.8
488,42,MIN,Louis Bullock,University of Michigan,,,,,,,,,,,,,,,,,
489,43,CHH,Lee Nailon\nailole01,Texas Christian University,6,306,5820,2622,936,298,.474,.111,.786,19.0,8.6,3.1,1.0,8.0,.066,-3.1,-1.5
490,44,HOU,Tyrone Washington,Mississippi State University,,,,,,,,,,,,,,,,,
491,45,SAC,Ryan Robertson\roberry01,University of Kansas,1,1,25,5,0,0,.333,.000,1.000,25.0,5.0,0.0,0.0,0.0,-.022,-8.4,0.0
492,46,NYK,J.R. Koch,University of Iowa,,,,,,,,,,,,,,,,,
493,47,PHI,Todd MacCulloch\maccuto01,University of Washington,4,223,3439,1369,888,121,.541,,.642,15.4,6.1,4.0,0.5,11.9,.166,0.2,1.9
494,48,MIL,Galen Young,University of North Carolina at Charlotte,,,,,,,,,,,,,,,,,
495,49,CHI,Lari Ketner\ketnela01,University of Massachusetts Amherst,2,25,139,34,34,2,.406,,.667,5.6,1.4,1.4,0.1,0.0,-.015,-11.2,-0.3
496,50,HOU,Venson Hamilton\hamilve01,University of Nebraska,,,,,,,,,,,,,,,,,
497,51,VAN,Antwain Smith,Saint Paul's College,,,,,,,,,,,,,,,,,
498,52,POR,Roberto Bergersen,Boise State University,,,,,,,,,,,,,,,,,
499,53,MIA,Rodney Buford\buforro01,Creighton University,5,230,4182,1472,598,179,.412,.300,.758,18.2,6.4,2.6,0.8,2.9,.033,-4.6,-2.8
500,54,DET,Melvin Levett,University of Cincinnati,,,,,,,,,,,,,,,,,
501,55,BOS,Kris Clack,University of Texas at Austin,,,,,,,,,,,,,,,,,
502,56,GSW,Tim Young\youngti01,Stanford University,1,25,137,54,35,5,.333,,.778,5.5,2.2,1.4,0.2,0.2,.058,-7.9,-0.2
503,57,SAS,Manu Ginobili\ginobma01,,15,989,25506,13448,3549,3833,.447,.370,.826,25.8,13.6,3.6,3.9,104.2,.196,5.3,46.8
504,58,UTA,Eddie Lucas,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,,,
505,1,NJN,Kenyon Martin\martike01,University of Cincinnati,15,757,23134,9325,5159,1439,.483,.234,.629,30.6,12.3,6.8,1.9,48.0,.100,0.7,15.5
506,2,VAN,Stromile Swift\swiftst01,Louisiana State University,9,547,10804,4582,2535,275,.473,.074,.699,19.8,8.4,4.6,0.5,21.3,.095,-1.9,0.2
507,3,LAC,Darius Miles\milesda01,,7,446,11730,4507,2190,840,.472,.168,.590,26.3,10.1,4.9,1.9,9.5,.039,-1.2,2.3
508,4,CHI,Marcus Fizer\fizerma01,Iowa State University,6,289,6032,2782,1340,352,.435,.191,.691,20.9,9.6,4.6,1.2,2.7,.022,-4.7,-4.1
509,5,ORL,Mike Miller\millemi01,University of Florida,17,1029,27752,10965,4361,2656,.459,.407,.769,27.0,10.7,4.2,2.6,60.7,.105,0.9,20.4
510,6,ATL,DerMarr Johnson\johnsde03,University of Cincinnati,7,344,5930,2121,769,304,.411,.336,.789,17.2,6.2,2.2,0.9,6.4,.052,-1.6,0.6
511,7,CHI,Chris Mihm\mihmch01,University of Texas at Austin,8,436,8758,3262,2302,223,.459,.231,.704,20.1,7.5,5.3,0.5,13.3,.073,-3.8,-4.1
512,8,CLE,Jamal Crawford\crawfja01,University of Michigan,17,1178,36027,18040,2762,4115,.410,.350,.861,30.6,15.3,2.3,3.5,58.9,.078,-0.8,10.9
513,9,HOU,Joel Przybilla\przybjo01,University of Minnesota,13,592,11733,2293,3665,256,.552,.000,.557,19.8,3.9,6.2,0.4,23.0,.094,-0.9,3.3
514,10,ORL,Keyon Dooling\doolike01,University of Missouri,13,728,14134,5067,964,1601,.416,.349,.799,19.4,7.0,1.3,2.2,18.5,.063,-3.0,-3.6
515,11,BOS,Jerome Moiso\moisoje01,University of California Los Angeles,5,145,1392,386,395,38,.489,.000,.593,9.6,2.7,2.7,0.3,2.1,.074,-3.8,-0.6
516,12,DAL,Etan Thomas\thomaet01,Syracuse University,9,409,7084,2341,1927,149,.513,,.603,17.3,5.7,4.7,0.4,14.9,.101,-2.6,-1.0
517,13,ORL,Courtney Alexander\alexaco02,California State University Fresno,3,187,4067,1690,409,227,.422,.339,.813,21.7,9.0,2.2,1.2,4.1,.048,-4.0,-2.1
518,14,DET,Mateen Cleaves\cleavma01,Michigan State University,6,167,1863,609,175,310,.389,.267,.728,11.2,3.6,1.0,1.9,-0.8,-.021,-6.3,-2.0
519,15,MIL,Jason Collier\collija02,Georgia Institute of Technology,5,151,2178,841,443,51,.455,.350,.738,14.4,5.6,2.9,0.3,1.9,.042,-6.3,-2.3
520,16,SAC,Hedo Turkoglu\turkohe01,,15,997,26695,11022,3971,2832,.426,.384,.784,26.8,11.1,4.0,2.8,63.3,.114,1.2,21.4
521,17,SEA,Desmond Mason\masonde01,Oklahoma State University,10,643,19641,7767,2863,1049,.449,.260,.740,30.5,12.1,4.5,1.6,23.1,.056,-2.4,-1.9
522,18,LAC,Quentin Richardson\richaqu01,DePaul University,13,783,20785,8032,3666,1138,.397,.355,.718,26.5,10.3,4.7,1.5,32.8,.076,-0.3,8.9
523,19,CHH,Jamaal Magloire\magloja01,University of Kentucky,12,680,14621,4917,4408,386,.480,.000,.639,21.5,7.2,6.5,0.6,27.7,.091,-2.9,-3.3
524,20,PHI,Speedy Claxton\claxtsp01,Hofstra University,7,334,8548,3096,830,1441,.409,.193,.762,25.6,9.3,2.5,4.3,14.2,.080,-0.7,2.8
525,21,TOR,Morris Peterson\petermo01,Michigan State University,11,711,19366,7628,2483,1090,.418,.373,.773,27.2,10.7,3.5,1.5,35.7,.089,0.0,9.7
526,22,NYK,Donnell Harvey\harvedo01,University of Florida,5,205,3318,1150,827,161,.460,.100,.659,16.2,5.6,4.0,0.8,4.7,.069,-2.7,-0.6
527,23,UTA,DeShawn Stevenson\stevede01,,13,824,18396,5930,1832,1355,.406,.340,.698,22.3,7.2,2.2,1.6,12.1,.032,-3.0,-4.6
528,24,CHI,Dalibor Bagaric\bagarda01,,3,95,973,251,238,37,.361,.000,.559,10.2,2.6,2.5,0.4,-0.9,-.043,-6.8,-1.2
529,25,PHO,Jake Tsakalidis\tsakaja01,,7,315,5005,1497,1238,101,.490,.000,.657,15.9,4.8,3.9,0.3,9.9,.095,-3.1,-1.3
530,26,DEN,Mamadou N'Diaye\ndiayma02,Auburn University,5,69,858,262,225,8,.427,.000,.736,12.4,3.8,3.3,0.1,1.8,.101,-5.3,-0.7
531,27,IND,Primoz Brezec\brezepr01,,8,342,6192,2452,1327,179,.498,.167,.701,18.1,7.2,3.9,0.5,10.8,.084,-2.5,-0.8
532,28,POR,Erick Barkley\barkler01,St. John's University,2,27,266,77,21,40,.356,.267,.900,9.9,2.9,0.8,1.5,0.2,.027,-3.8,-0.1
533,29,LAL,Mark Madsen\madsema01,Stanford University,9,453,5335,975,1157,181,.457,.063,.527,11.8,2.2,2.6,0.4,8.2,.074,-2.2,-0.2
534,30,LAC,Marko Jaric\jaricma01,,7,447,11246,3193,1200,1600,.404,.344,.730,25.2,7.1,2.7,3.6,12.1,.052,-0.5,4.3
535,31,DAL,Dan Langhi\langhda01,Vanderbilt University,4,133,1253,393,199,39,.391,.289,.613,9.4,3.0,1.5,0.3,0.3,.012,-6.8,-1.5
536,32,CHI,A.J. Guyton\guytoaj01,Indiana University,3,80,1246,442,80,147,.377,.378,.822,15.6,5.5,1.0,1.8,0.3,.010,-5.4,-1.1
537,33,CHI,Jake Voskuhl\voskuja01,University of Connecticut,9,450,6443,1814,1539,237,.487,.333,.714,14.3,4.0,3.4,0.5,11.6,.087,-2.2,-0.3
538,34,CHI,Khalid El-Amin\elamikh01,University of Connecticut,1,50,936,314,81,145,.370,.333,.778,18.7,6.3,1.6,2.9,0.6,.030,-3.8,-0.4
539,35,WAS,Mike Smith\smithmi03,University of Louisiana at Monroe,1,17,180,51,22,10,.322,.167,.625,10.6,3.0,1.3,0.6,-0.1,-.033,-5.5,-0.2
540,36,NJN,Soumaila Samake\samakso01,,2,47,303,68,76,5,.389,,.462,6.4,1.4,1.6,0.1,0.3,.046,-6.5,-0.3
541,37,MIA,Eddie House\houseed01,Arizona State University,11,717,12405,5356,1223,1112,.409,.390,.851,17.3,7.5,1.7,1.6,20.0,.077,-1.5,1.6
542,38,HOU,Eduardo Najera\najered01,University of Oklahoma,12,619,11213,3052,2307,493,.481,.311,.671,18.1,4.9,3.7,0.8,24.7,.106,0.3,6.4
543,39,NYK,Lavor Postell\postela01,St. John's University,3,61,446,195,45,13,.335,.250,.795,7.3,3.2,0.7,0.2,-0.2,-.025,-8.6,-0.7
