,Pick,Team,Name,College,Seasons,Games,Minutes Played,Points,Total Rebounds,Assists,FG%,3P%,FT%,MPG,PPG,TRPG,APG,Win Share,Win Share/48,Box +/-,VORP
319,46,POR,Marcus Brown\brownma01,Murray State University,2,27,229,92,22,23,.381,.333,.714,8.5,3.4,0.8,0.9,0.3,.066,-3.2,-0.1
320,47,SEA,Ron Riley,Arizona State University,,,,,,,,,,,,,,,,,
321,48,PHI,Jamie Feick\feickja01,Michigan State University,5,201,4316,911,1437,139,.424,.400,.629,21.5,4.5,7.1,0.7,8.2,.091,-1.7,0.4
322,49,ORL,Amal McCaskill\mccasam01,Marquette University,4,114,968,204,213,36,.377,.000,.609,8.5,1.8,1.9,0.3,0.5,.024,-4.4,-0.6
323,50,HOU,Terrell Bell,University of Georgia,,,,,,,,,,,,,,,,,
324,51,VAN,Chris Robinson\robinch01,Western Kentucky University,2,76,1095,350,117,104,.376,.374,.571,14.4,4.6,1.5,1.4,-0.1,-.003,-4.1,-0.6
325,52,IND,Mark Pope\popema01,University of Kentucky,6,153,1634,285,261,63,.401,.179,.573,10.7,1.9,1.7,0.4,1.3,.038,-3.2,-0.5
326,53,MIL,Jeff Nordgaard\nordgje01,University of Wisconsin-Green Bay,1,13,48,18,14,3,.278,,.889,3.7,1.4,1.1,0.2,0.0,.043,-6.8,-0.1
327,54,UTA,Shandon Anderson\andersh01,University of Georgia,10,719,15946,5327,2252,1007,.457,.316,.739,22.2,7.4,3.1,1.4,23.6,.071,-0.8,4.9
328,55,WSB,Ronnie Henderson,Louisiana State University,,,,,,,,,,,,,,,,,
329,56,CLE,Reggie Geary\gearyre01,University of Arizona,2,101,931,209,82,110,.344,.328,.493,9.2,2.1,0.8,1.1,0.6,.032,-3.2,-0.3
330,57,SEA,Drew Barry\barrydr01,Georgia Institute of Technology,3,60,598,134,67,111,.417,.381,.774,10.0,2.2,1.1,1.9,0.6,.051,-4.5,-0.4
331,58,DAL,Darnell Robinson,University of Arkansas,,,,,,,,,,,,,,,,,
332,1,SAS,Tim Duncan\duncati01,Wake Forest University,19,1392,47368,26496,15091,4225,.506,.179,.696,34.0,19.0,10.8,3.0,206.4,.209,5.5,89.3
333,2,PHI,Keith Van Horn\vanhoke01,University of Utah,9,575,18150,9206,3909,900,.443,.361,.835,31.6,16.0,6.8,1.6,41.7,.110,-0.2,8.4
334,3,BOS,Chauncey Billups\billuch01,University of Colorado,17,1043,33008,15802,2992,5636,.415,.387,.894,31.6,15.2,2.9,5.4,120.8,.176,2.5,37.6
335,4,VAN,Antonio Daniels\daniean01,Bowling Green State University,13,872,19671,6623,1613,2934,.444,.311,.793,22.6,7.6,1.8,3.4,47.0,.115,-1.2,4.1
336,5,DEN,Tony Battie\battito01,Texas Tech University,14,837,17649,5082,4287,522,.488,.162,.690,21.1,6.1,5.1,0.6,36.4,.099,-1.6,1.9
337,6,BOS,Ron Mercer\mercero01,University of Kentucky,8,432,13418,5892,1342,921,.429,.250,.808,31.1,13.6,3.1,2.1,9.4,.034,-3.3,-4.3
338,7,NJN,Tim Thomas\thomati01,Villanova University,13,824,21336,9454,3379,1272,.437,.369,.758,25.9,11.5,4.1,1.5,35.2,.079,-1.0,5.4
339,8,GSW,Adonal Foyle\foylead01,Colgate University,12,733,13060,2989,3461,344,.477,.000,.499,17.8,4.1,4.7,0.5,18.7,.069,-0.8,3.9
340,9,TOR,Tracy McGrady\mcgratr01,,15,938,30658,18381,5276,4161,.435,.338,.746,32.7,19.6,5.6,4.4,97.3,.152,4.6,50.6
341,10,MIL,Danny Fortson\fortsda01,University of Cincinnati,10,440,8832,3615,3184,301,.472,.167,.785,20.1,8.2,7.2,0.7,22.3,.121,-3.0,-2.1
342,11,SAC,Tariq Abdul-Wahad\abdulta01,San Jose State University,6,236,4807,1830,776,266,.417,.237,.703,20.4,7.8,3.3,1.1,3.5,.035,-3.2,-1.5
343,12,IND,Austin Croshere\croshau01,Providence College,12,659,11480,4475,2649,627,.407,.340,.861,17.4,6.8,4.0,1.0,27.6,.115,-0.5,4.3
